new_ids,song,type,region,glottocode
NHS2-F57Y,NHS2-0681,Healing,Eastern South America,port1283
NHS2-G35E,NHS2-0685,Procession,Eastern South America,port1283
NHS2-E9PI,NHS2-0686,Procession,Eastern South America,port1283
NHS2-PC3P,NHS2-0687,Procession,Eastern South America,port1283
NHS2-1GHP,NHS2-0688,Work,Eastern South America,port1283
NHS2-DX7L,NHS2-0698,Healing,Eastern South America,trio1238
NHS2-SBII,NHS2-0699,Lullaby,Eastern South America,tupi1276
NHS2-HXRM,NHS2-0700,Dance,Eastern South America,waya1269
NHS2-1O99,NHS2-0701,Dance,Eastern South America,waya1269
NHS2-2RHZ,NHS2-0702,Healing,Eastern South America,waya1269
NHS2-25NZ,NHS2-0703,Praise,Eastern South America,waya1269
NHS2-U21V,NHS2-0706,Healing,Eastern Woodlands,cayu1261
NHS2-UGUF,NHS2-0707,Lullaby,Eastern Woodlands,cher1273
NHS2-Z441,NHS2-0709,Story,Eastern Woodlands,mika1239
NHS2-GPDW,NHS2-0711,Healing,Eastern Woodlands,mika1239
NHS2-PGOU,NHS2-0712,Story,Eastern Woodlands,mika1239
NHS2-KWD9,NHS2-0713,Love,Eastern Woodlands,mikm1235
NHS2-TOVS,NHS2-0714,Praise,Eastern Woodlands,mikm1235
NHS2-TVDK,NHS2-0717,Story,Eastern Woodlands,onei1249
NHS2-12A9,NHS2-0719,Dance,Eastern Woodlands,onon1246
NHS2-179A,NHS2-0720,Dance,Eastern Woodlands,sene1264
NHS2-PC0R,NHS2-0721,Dance,Eastern Woodlands,sene1264
NHS2-PCBC,NHS2-0722,Dance,Eastern Woodlands,sene1264
NHS2-7HRT,NHS2-0723,Healing,Eastern Woodlands,sene1264
NHS2-2OQH,NHS2-0724,Healing,Eastern Woodlands,sene1264
NHS2-5C46,NHS2-0725,Mourning,Eastern Woodlands,sene1264
NHS2-KQ7F,NHS2-0726,Praise,Eastern Woodlands,sene1264
NHS2-XJDQ,NHS2-0727,Procession,Eastern Woodlands,sene1264
NHS2-P426,NHS2-0729,Work,Northwest Coast,tlin1245
NHS2-9EQ3,NHS2-0730,Lullaby,Maya Area,gari1256
NHS2-GYY9,NHS2-0731,Lullaby,Maya Area,gari1256
NHS2-131U,NHS2-0732,Dance,Maya Area,gari1256
NHS2-AHRQ,NHS2-0733,Mourning,Maya Area,gari1256
NHS2-YDIO,NHS2-0734,Love,Maya Area,guer1241
NHS2-CQH0,NHS2-0735,Lullaby,Maya Area,guer1241
NHS2-TGEC,NHS2-0736,Procession,Maya Area,ixil1251
