song,type,region,glottocode
NHS2-ZVHE,Work,Eastern Europe,russ1263
NHS2-MGHC,Dance,Eastern Europe,udmu1245
NHS2-UH4B,Love,Eastern Europe,udmu1245
NHS2-ZHE1,Lullaby,Eastern Europe,udmu1245
NHS2-17SD,Mourning,Eastern Europe,udmu1245
NHS2-44OX,Play,Eastern Europe,udmu1245
NHS2-I699,Work,Eastern Europe,mari1278
NHS2-NA1E,Healing,Eastern Europe,udmu1245
NHS2-3DYT,Dance,Eastern Europe,latv1249
NHS2-B7OB,Lullaby,Eastern Europe,lith1251
NHS2-YJW0,Dance,Eastern South America,krah1246
NHS2-V7CJ,Story,Eastern South America,xakr1238
NHS2-7YXU,Mourning,Eastern South America,kain1272
NHS2-X35A,Lullaby,Eastern South America,kara1500
NHS2-K4KT,Story,Eastern South America,kuik1246
NHS2-JIGG,Story,Eastern South America,kuik1246
NHS2-CRM7,Story,Eastern South America,kuik1246
NHS2-0OOB,Story,Eastern South America,kuik1246
NHS2-BCPU,Dance,Eastern South America,pali1279
NHS2-7SRW,Love,Eastern South America,para1319
NHS2-613U,Dance,Eastern South America,port1283
NHS2-56CV,Healing,Eastern South America,port1283
NHS2-ALKM,Healing,Eastern South America,port1283
NHS2-F57Y,Healing,Eastern South America,port1283
NHS2-G35E,Procession,Eastern South America,port1283
NHS2-E9PI,Procession,Eastern South America,port1283
NHS2-PC3P,Procession,Eastern South America,port1283
NHS2-1GHP,Work,Eastern South America,port1283
NHS2-DX7L,Healing,Eastern South America,trio1238
NHS2-SBII,Lullaby,Eastern South America,tupi1276
NHS2-HXRM,Dance,Eastern South America,waya1269
NHS2-1O99,Dance,Eastern South America,waya1269
NHS2-2RHZ,Healing,Eastern South America,waya1269
NHS2-25NZ,Praise,Eastern South America,waya1269
NHS2-U21V,Healing,Eastern Woodlands,cayu1261
NHS2-UGUF,Lullaby,Eastern Woodlands,cher1273
NHS2-Z441,Story,Eastern Woodlands,mika1239
NHS2-GPDW,Healing,Eastern Woodlands,mika1239
NHS2-PGOU,Story,Eastern Woodlands,mika1239
NHS2-KWD9,Love,Eastern Woodlands,mikm1235
NHS2-TOVS,Praise,Eastern Woodlands,mikm1235
NHS2-TVDK,Story,Eastern Woodlands,onei1249
NHS2-12A9,Dance,Eastern Woodlands,onon1246
NHS2-179A,Dance,Eastern Woodlands,sene1264
NHS2-PC0R,Dance,Eastern Woodlands,sene1264
NHS2-PCBC,Dance,Eastern Woodlands,sene1264
NHS2-7HRT,Healing,Eastern Woodlands,sene1264
NHS2-2OQH,Healing,Eastern Woodlands,sene1264
NHS2-5C46,Mourning,Eastern Woodlands,sene1264
NHS2-KQ7F,Praise,Eastern Woodlands,sene1264
NHS2-XJDQ,Procession,Eastern Woodlands,sene1264
NHS2-O4O6,Procession,Maya Area,gari1256
NHS2-7LJJ,Procession,Maya Area,gari1256
NHS2-UVHG,Story,Maya Area,gari1256
NHS2-7O44,Story,Maya Area,gari1256
NHS2-D9WG,Work,Maya Area,gari1256
NHS2-9EQ3,Lullaby,Maya Area,gari1256
NHS2-GYY9,Lullaby,Maya Area,gari1256
NHS2-131U,Dance,Maya Area,gari1256
NHS2-AHRQ,Mourning,Maya Area,gari1256
NHS2-YDIO,Love,Maya Area,guer1241
NHS2-CQH0,Lullaby,Maya Area,guer1241
NHS2-TGEC,Procession,Maya Area,ixil1251
NHS2-OPGO,Lullaby,Maya Area,kekc1242
NHS2-BBYW,Love,Maya Area,ladi1251
NHS2-58Q4,Play,Maya Area,stan1288
NHS2-MLGC,Play,Maya Area,stan1288
NHS2-27QB,Mourning,Maya Area,maya1287
NHS2-P2A1,Dance,Maya Area,tzot1259
NHS2-BUR0,Healing,Maya Area,yuca1254
NHS2-60XM,Lullaby,Maya Area,stan1288
NHS2-OTJS,Dance,Maya Area,maya1287
NHS2-U16R,Healing,Melanesia,sepi1257
NHS2-LKVC,Lullaby,Melanesia,baeg1237
NHS2-JZTN,Story,Melanesia,baeg1237
NHS2-NGPL,Story,Melanesia,fata1245
NHS2-1FS4,Praise,Melanesia,kala1377
NHS2-TQBZ,Mourning,Melanesia,kaul1240
NHS2-B3BI,Work,Melanesia,pura1257
NHS2-5M11,Work,Melanesia,aman1265
NHS2-76SZ,Procession,Melanesia,kuma1280
NHS2-I3RO,Love,Melanesia,melp1238
NHS2-2BT6,Dance,Melanesia,loya1239
NHS2-SIPH,Lullaby,Melanesia,kwen1247
NHS2-KEES,Work,Melanesia,tang1348
NHS2-Y0IQ,Praise,Melanesia,tokp1240
NHS2-QE86,Story,Melanesia,vani1248
NHS2-P4RY,Healing,Melanesia,oloo1241
NHS2-K16P,Play,Melanesia,tiko1237
NHS2-6TYM,Story,Melanesia,tiko1237
NHS2-53YA,Dance,Micronesia,gilb1244
NHS2-O9IK,Healing,Micronesia,chuu1238
NHS2-SXIG,Love,Micronesia,chuu1238
NHS2-ZO18,Mourning,Micronesia,pala1344
NHS2-33X8,Play,Micronesia,ulit1238
NHS2-30HL,Procession,Micronesia,ulit1238
NHS2-IR7K,Story,Micronesia,ulit1238
NHS2-D16Y,Work,Micronesia,ulit1238
NHS2-O2X0,Work,Micronesia,ulit1238
NHS2-DNTO,Healing,Micronesia,wole1240
NHS2-8WO9,Healing,Micronesia,wole1240
NHS2-MZ0X,Healing,Micronesia,wole1240
NHS2-YWDM,Healing,Micronesia,wole1240
NHS2-RSUK,Love,Micronesia,wole1240
NHS2-JDU3,Love,Micronesia,wole1240
NHS2-945J,Love,Micronesia,wole1240
NHS2-T3VD,Love,Micronesia,wole1240
NHS2-XTVF,Mourning,Micronesia,wole1240
NHS2-85GU,Mourning,Micronesia,wole1240
NHS2-2EKA,Praise,Micronesia,pala1344
NHS2-FSVL,Praise,Micronesia,wole1240
NHS2-SI3B,Praise,Micronesia,wole1240
NHS2-YP5F,Praise,Micronesia,wole1240
NHS2-VAAN,Praise,Micronesia,wole1240
NHS2-UJC0,Praise,Micronesia,wole1240
NHS2-FSYR,Praise,Micronesia,wole1240
NHS2-NH07,Praise,Micronesia,wole1240
NHS2-EVMY,Praise,Micronesia,wole1240
NHS2-UO3R,Praise,Micronesia,wole1240
NHS2-PNXC,Praise,Micronesia,wole1240
NHS2-02B5,Story,Micronesia,wole1240
NHS2-HMPO,Story,Micronesia,wole1240
NHS2-3QA7,Story,Micronesia,wole1240
NHS2-JP5C,Story,Micronesia,wole1240
NHS2-IEJB,Story,Micronesia,wole1240
NHS2-G3FF,Mourning,Micronesia,wole1240
NHS2-W025,Story,Micronesia,wole1240
NHS2-6IWA,Story,Micronesia,yape1248
NHS2-YLEN,Dance,Micronesia,yape1248
NHS2-9Y4I,Dance,Micronesia,yape1248
NHS2-N13N,Healing,Micronesia,yape1248
NHS2-K2OH,Lullaby,Micronesia,yape1248
NHS2-SCB2,Procession,Micronesia,yape1248
NHS2-JCFF,Procession,Micronesia,yape1248
NHS2-5KU4,Dance,Micronesia,yape1248
NHS2-1SJM,Story,Micronesia,yape1248
NHS2-KOWN,Work,Micronesia,yape1248
NHS2-EZD1,Work,Micronesia,yape1248
NHS2-UDQJ,Praise,Micronesia,ulit1238
NHS2-0DSZ,Dance,Middle East,cent1972
NHS2-V3JT,Love,Middle East,cent1972
NHS2-SN80,Love,Middle East,cent1972
NHS2-X9YD,Love,Middle East,cent1972
NHS2-6LBX,Love,Middle East,cent1972
NHS2-YRRB,Love,Middle East,cent1972
NHS2-T8GK,Lullaby,Middle East,cent1972
NHS2-EAKC,Mourning,Middle East,cent1972
NHS2-V8Y5,Praise,Middle East,cent1972
NHS2-L75M,Work,Middle East,gulf1241
NHS2-XZS0,Procession,Middle East,hadr1236
NHS2-AMSU,Work,Middle East,hadr1236
NHS2-3ID0,Story,Middle East,maza1291
NHS2-LU0Q,Story,Middle East,nort2641
NHS2-XU3K,Mourning,Middle East,nort3139
NHS2-ZU2O,Mourning,Middle East,nort3139
NHS2-PSEZ,Healing,Middle East,turk1304
NHS2-GQVS,Love,Middle East,kurd1259
NHS2-VLYL,Story,North Asia,russ1263
NHS2-MQJA,Dance,North Asia,chuk1273
NHS2-2BQL,Dance,North Asia,chuk1273
NHS2-KEAW,Lullaby,North Asia,chuk1273
NHS2-V8VZ,Work,North Asia,chuk1273
NHS2-8HH5,Work,North Asia,chuk1273
NHS2-WKJ6,Dance,North Asia,even1259
NHS2-T4JD,Dance,North Asia,even1259
NHS2-3T3T,Healing,North Asia,even1259
NHS2-4NOR,Healing,North Asia,even1259
NHS2-BMTG,Lullaby,North Asia,gily1242
NHS2-84QJ,Lullaby,North Asia,gily1242
NHS2-FAYF,Work,North Asia,gily1242
NHS2-8HYJ,Dance,North Asia,kory1246
NHS2-2OZH,Healing,North Asia,nana1257
NHS2-5IXS,Lullaby,North Asia,nana1257
NHS2-8Z3Q,Story,North Asia,nana1257
NHS2-YH6E,Work,North Asia,nana1257
NHS2-RSPL,Lullaby,North Asia,nort2745
NHS2-1MJA,Dance,North Asia,russ1264
NHS2-AJ1X,Play,North Asia,russ1264
NHS2-YXHK,Love,North Asia,selk1253
NHS2-NE2L,Mourning,North Asia,yaku1245
NHS2-CLZB,Play,North Asia,yaku1245
NHS2-YVEE,Story,North Asia,yaku1245
NHS2-0878,Praise,Northern Africa,cent2194
NHS2-GN0J,Dance,Northern Africa,gour1247
