"Note to RAs. This spreadsheet contains a bunch of track information for possible tracks that could be useful. It was Sam and Manvir's first round of promising searches using the Harvard Archive of World Music. You can find a record of each item via the Harvard Library at http://hollis.harvard.edu, doing an advanced search by Hollis #, and pasting the number in Column E.",,,,,,,,,
,,,,,,what tracks are possibly useful here?,,,
subregion,culture,recording title,call #,hollis #,location/comments,lullaby,dance,healing,love
Scandinavia,Saami,Jojk  : en presentation av samisk folkmusik = Yoik ; a presentation of Saami folk music.,CD 13797,8045520,3 CDs & book!,1:01,,,3:21
Scandinavia,Saami,Lappish joik songs from northern Norway,online,13301661,,36,,,
Scandinavia,Saami,Vaggvisor & ramsor sound recording = Rhymes & lullabies.,CD 13452,7599424,,"10,14,17,21,23",,,
South Asia,Sinhalese,Music of Sri Lanka,CD 16842,12060644,,5XXXX,,,
South Asia,Bhil,2 Bhil lullabies,CREM,http://archives.crem-cnrs.fr/search/?location=Inde&instrument=&ethnic_group=&title=berceuse&creator=&collector=&rec_year_from=0&rec_year_to=0&pub_year_from=0&pub_year_to=0,,two,,,
South Asia,Baluchi,Baloutchistan-Musiques d'Extase et de guerison,CREM,http://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1993_003_003/,,,,X,
South Asia,Marathi,Marathi songs from the Arnold Bake collection,online,,in Hollis (ARCE),1,,,
South Asia,Garo,Bangladesh  : les Garos de la forêt de Madhupur.,CD 9187,3832623,,,"2,6,7",1abcdXXX,8abXXX
Southeast Asia,Iban,Chamanes et possédés  = Shamans and possessed.,CD 11853,9360795,,,,4,
Southeast Asia,Central Thai,Traditional folk music of Siam . Folk music of Esarn.,CD 13142,7157731,five CDs,,,,"17,18"
Southeast Asia,Central Thai,Traditional folk music of Siam . Folk music of Laak Na,CD 13142,7157731,,,,,"4,8"
Southeast Asia,Iban,Kalimantan  : Dayak ritual and festival music.,CD 13820,7968893,Loeb reserve,,1xx,,
Southeast Asia,Tibeto-Burmese (Laos),Musiques du Laos,CD 12246,9542620,,18,,,
Southeast Asia,Iban,Sawaku  : music of Sarawak.,CD 13923,8013221,,,6,,
Southeast Asia,Iban,Bornéo  : musiques des Dayaks et des Punans = music of the Dayak and of the Punan,CD 13930,8013131,,,"8,9","4,7","2,3,11,15"
Southeastern Europe,Serbs,Serbie  : Anthologie de la musique populaire serbe = Serbia : an anthology of Serbian folk music.,CD 14672,8393068,,,"17,18XXX",,27
Southeastern Europe,Serbs,Les bougies du paradis  : Serbie orientale.,CD 9442,5417668,,,"1,2,3,4,5,6,10XXX",,
Southeastern Europe,Leros Island (Greece),"Tēs Leros ta tragoudia [sound recording] / ereuna, organōsē ēchographēsēs Antōnēs Ḏallarēs",CD 15178,9269942,,CD1:6; CD2:12,,,
Southeastern Europe,Albanians,Tragoudia kai skopoi tēs Makedonias,CD 15206,9270431,,18,"1,3,5,6-9,13-14,16,17,19",,
Southern Africa,Bemba,Rhodesia (Northern)  ; Bemba. (1 of 2),online LP 762,8316367,,,,,"1[STEPH],2"
Southern Africa,Lozi,Mocambique  ; Ndau ; Lozi ; North Rhodesia.,online LP 764,8316548,,,,MSXXX,
Southern Africa,Lozi,[fill in]: TR-51 A1-4; B5-6; TR-67 B8-9,[fill in],8316548,,,,,
Southern Africa,Bemba,Nyasaland sound recording ; Chewa.,online LP 773,8316374,,"1,2,3",,,
Southern South America,Ona,"Selk'nam (Ona) Chants of Tierra del Fuego, Argentina",CD 11302a-b,9101062,,2:29,,MSXXX,
