There are 0 tracks left to validate.,,,Sumi has done 740 and Vanessa has done 805.,,Yes,SON,"1. Confirm that the track is NOT SKETCHY (e.g., overproduced, operatic, etc).",2. Confirm that there is an AUDIBLE SINGER.,3. Are there any problems with the TYPE classification?,4. Are there any problems with the REGION classification? ,5. Are there any problems with the GLOTTOCODE classification?,,"These fields are provided for quick reference, as they might make it easier to locate validation info in liner notes",,,,,,,,,
NHS2-0049,Lullaby,Amazon and Orinoco,Warao,wara1303,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/wara1303,Fugi Isa - I Alone Am a Monkey Baby,Disc 1 Track 22,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"""Fugi Isa"", a Warrau lullaby, sung by Genevieve Quailo (""I alone am a monkey baby""), accompanying herself with a baby's rattle (a small version of the shak-shak). // SMITHSONIAN FOLKWAYS CATALOGUE NUMBER: FW04239_210, RELEVANT INFO IN LINER NOTES PG. 7 //",1,,KAH,LGY
NHS2-0002,Mourning,Amazon and Orinoco,Carib,akur1238,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Maybe problematic,"no evidence for specificity, maybe gali1262",https://glottolog.org/resource/languoid/id/akur1238,Funeral Song for Lalimo,Track 20,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",N/A,"In February 1968 the wife of the old village headman had died in a hospital in Paramaribo. She had been an influential and powerful personality during her life. The kalawasi songs sung during that night were filled with emotional expressions of personal attachment to the old woman: koi lotion kolubane, li (only recently we still talked to each other). //LINER NOTES: ALEXANDER STREET CATALOG NUMBER: 4005 KCD//",1,,KAH,JSL
NHS2-0004,Mourning,Amazon and Orinoco,Bororo,boro1282,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/boro1282,Marenaruie,Disc 1 Track 7,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Chant of Mourning: The fragment heard here, associated to the lamentations and the ritual scarifications, is sung by a single man ; the sobbing shows the intense emotion created during the funeral ceremonies. //SMITHSONIAN FOLKWAYS CATALOGUE NUMBER: UNES08201_107, RELEVANT INFO IN LINER NOTES PG. 5 //",1,,KAH,LGY
NHS2-0007,Mourning,Amazon and Orinoco,Canela Kraho,cane1242,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/cane1242,Ceremonial Weeping,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Ceremonial Weeping //GLOBAL JUKEBOX CODING ID: 3247//,Mourning song; burial song //GLOBAL JUKEBOX CODING ID: 3247//,1,,HLR,CMB
NHS2-0011,Mourning,Amazon and Orinoco,Carib,gali1262,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/gali1262,Funeral Song For Selikian,Track 17,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Title: Funeral Song For Selikian Sub Genre: Song; Ritual; Funeral Music //ALEXANDER STREET CATALOG NUMBER: 4005 KCD//,"February 17, 1967 little Selikian died. She was a mentally and physically retarded Down syndrome child. Her parents, her father in particular, were very fond of her and took touchingly care of her. A week after her death the first mortuary feast we held. This feast is traditionally called omanganon. In the past it was probably seen as a means to establish the soul in the hereafter. Many people were there, and suddenly one of the men took over the kalawasi. As he explained in his song he took the place of his old mother, who was a classificatory grandmother of the child. She should have been present but was too ill to come. She had asked her son to sing in her place. //LINER NOTES; ALEXANDER STREET CATALOG NUMBER: 4005 KCD//",1,,HLR,JSL
NHS2-0051,Mourning,Amazon and Orinoco,Wayana,waya1269,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/waya1269,Sequabi Lamenting,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Sequabi Lamenting //GLOBAL JUKEBOX CODING ID: 4043//,Mourning song; lament //GLOBAL JUKEBOX CODING ID: 4043//,1,,HLR,CMB
NHS2-0020,Play,Amazon and Orinoco,Katukina,kana1291,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kana1291,Penas ao Vento (Música das crianças) -- Rane Rane Neonte,Track 11,The song is identified as such in its title or label,"Música das crianças (Music for Children) // CD LINER NOTES, PAGE 1 //",NA,1,,KAH,JSL
NHS2-0039,Play,Amazon and Orinoco,Suriname Maroons ,sran1240,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/sran1240,Faja ston,NA,The song is identified as such in its title or label,"Play song // LIBRARY OF CONGRESS, AFS NUMBER: AFS 04744 B //",NA,1,,KAH,YFS
NHS2-0052,Play,Amazon and Orinoco,Yanoama,yano1261,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/yano1261,"8: Stories, myths, and songs",1,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Amoa songs are a game. The leader sings and the others repeat, if they understand it. //AILLA: Home » Collections » Amazonian Languages Collection of Ernest Migliazza » 8: Stories, myths, and songs//",1,,KAH,LGY
NHS2-0025,Praise,Amazon and Orinoco,Kayapo,kaya1330,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kaya1330,Chant yuruna,1,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Il s'agit d'un chant de remerciements, la nuit dans la forêt. //""This is a song of thanks, the night in the forest.""; CREM CODE: CNRSMH_I_1966_006_001_01//",1,,HLR,LGY
