There are 0 tracks left to validate.,,,Sumi has done 740 and Vanessa has done 805.,,Yes,SON,"1. Confirm that the track is NOT SKETCHY (e.g., overproduced, operatic, etc).",2. Confirm that there is an AUDIBLE SINGER.,3. Are there any problems with the TYPE classification?,4. Are there any problems with the REGION classification? ,5. Are there any problems with the GLOTTOCODE classification?,,"These fields are provided for quick reference, as they might make it easier to locate validation info in liner notes",,,,,,,,,
NHS2-1430,Work,Southeastern Europe,Serbian,sout1528,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/sout1528,"Mladio momce, zelen bosioce (zetelacka pesma)",NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Harvest song //CREM CODE CNRSMH_I_1963_006_001_15, ITEM NUMBER 9, RELEVANT TEXT IN TITLE FIELD//","Agriculture //CREM CODE CNRSMH_I_1963_006_001_15, ITEM NUMBER 9, RELEVANT TEXT IN KEYWORDS FIELD//",1,,LXN,LGY
NHS2-1431,Work,Southeastern Europe,Serbian,sout1528,Yes,SON,Yes,Yes,Maybe problematic,Not problematic,Not problematic,Zetelacka Pesma is a wedding song (procession),https://glottolog.org/resource/languoid/id/sout1528,Zetelacka Pesma,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Song of harvest //CREM CNRSMH_I_1963_006_00_32 ITEM NUMBER 19, RELEVANT TEXT IN TITLE FIELD//","Agriculture //CREM CNRSMH_I_1963_006_00_32 ITEM NUMBER 19, RELEVANT TEXT IN KEYWORDS FIELD//",1,,LXN,LGY
NHS2-1441,Dance,Southern Africa,Bara,bara1369,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/bara1369,Malay Hanambady,NA,The song is identified as such in its title or label,"Dance song //GLOBAL JUKEBOX CODING ID 2172, GENRE FIELD//","Ambanivody acrobatic dance song; I Don't Want to Get Married //GLOBAL JUKEBOX CODING ID 2172, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1446,Dance,Southern Africa,Chopi,chop1243,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/chop1243,Mzeno of Komukomu,NA,The song is identified as such in its title or label,"Dance song; mzeno //GLOBAL JUKEBOX CODING ID 1687, GENRE FIELD//","Orchestral dance; Kapani waChikwita, composer//GLOBAL JUKEBOX CODING ID 1687, DESCRIPTION FIELD//",1,,AMB,LGY
NHS2-1457,Dance,Southern Africa,Lozi,lozi1239,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/lozi1239,Musahowelele likishi la Mulena,Tape 72,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",2,2,1,,SAM,LGY
NHS2-1459,Dance,Southern Africa,Mahafaly,maha1309,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/maha1309,Music of Malagasy - Drumming for a Ceremony / Music of Malagasy - Singing for Dancing (medley),"Disc 1, Track 4",The song is identified as such in its title or label,"Music of Malagasy - Drumming for a Ceremony / Music of Malagasy - Singing for Dancing (medley) //PRIMITIVE MUSIC OF THE WORLD ALBUM, SMITHSONIAN FOLKWAYS//",NA,1,,AMB,LGY
NHS2-1472,Dance,Southern Africa,Ngoni,ngon1269,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Definitely problematic,nsen1242,https://glottolog.org/resource/languoid/id/ngon1269,Liya Kamuchoma Wa Kanga,NA,The song is identified as such in its title or label,Dance song //GLOBAL JUKEBOX CODING ID 261; GENRE FIELD//,Mpanda dance song; Without Liya The Dance Is Not A Success //GLOBAL JUKEBOX CODING ID 261; DESCRIPTION FIELD//,1,,AMB,LGY
NHS2-1483,Dance,Southern Africa,Tanala,plat1254,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/plat1254,Andao Isika Mba Hilalao,NA,The song is identified as such in its title or label,"Dance song //GLOBAL JUKEBOX CODING ID 1649, GENRE FIELD//","Asabasy dance song; Now We Will Play //GLOBAL JUKEBOX CODING ID 1649, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1494,Dance,Southern Africa,Karanga,shon1251,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/shon1251,Shangara,NA,The song is identified as such in its title or label,"Dance song //GLOBAL JUKEBOX CODING ID 2679, GENRE FIELD//","Dance song //GLOBAL JUKEBOX CODING ID 2679, DESCRIPTION FIELD//",1,,AMB,JSL
NHS2-1517,Dance,Southern Africa,Pondo,xhos1239,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/xhos1239,Imama,NA,The song is identified as such in its title or label,Dance song; boys' song //GLOBAL JUKEBOX CODNG ID 277; GENRE FIELD//,Mother; Gubura dance for young men //GLOBAL JUKEBOX CODNG ID 277; DESCRIPTION FIELD//,1,,AMB,LGY
NHS2-1518,Dance,Southern Africa,Xhosa,xhos1239,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/xhos1239,Mhlalo,NA,The song is identified as such in its title or label,Dance song; party song //GLOBAL JUKEBOX CODING ID 273 GENRE FIELD//,Mhlahlo is the name of a dance; Party song for young people; recorded at Released Area 32 //GLOBAL JUKEBOX CODING ID 273 DESCRIPTION FIELD//,1,,AMB,CMB
NHS2-1533,Dance,Southern Africa,Zulu,zulu1248,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/zulu1248,I Qhude Lo Kusa,NA,The song is identified as such in its title or label,"Dance song; hymn; animal song //CODING ID 290 IN GLOBAL JUKEBOX, GENRE FIELD//","The Cock That Crows at Dawn; dance song; Zulu hymn for Christian dancing, by men and women of the Shembe Church //CODING ID 290 GLOBAL JUKEBOX, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1443,Healing,Southern Africa,Kazembe-Lunda,bemb1257,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/bemb1257,Atufundi uyanganje,"Side A, Track 5",,4,4,1,,CMB,LGY
NHS2-1451,Healing,Southern Africa,Kung,juho1239,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/juho1239,Giraffe Song 1,NA,The song is identified as such in its title or label,"Healing song; ceremonial song; dance song //GLOBAL JUKEBOX CODING ID 244, GENRE FIELD//","Curing ceremony dance song //GLOBAL JUKEBOX CODING ID 244, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1452,Healing,Southern Africa,Zhuǀʼhoasi,juho1239,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/juho1239,Giraffe Medicine Song,NA,The song is identified as such in its title or label,"Medicine song; healing song; dream song //GLOBAL JUKEBOX CODING ID 9368, GENRE FIELD//","An elderly healer and two other old women sing a song given to her in a dream by the God who lives in the eastern sky //GLOBAL JUKEBOX CODING ID 9368, DESCRIPTION FIELD//",1,,AMB,YFS
NHS2-1453,Healing,Southern Africa,Zhuǀʼhoasi,juho1239,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/juho1239,Oryx Collective Healing Rite,NA,The song is identified as such in its title or label,"Healing song; ritual song //GLOBAL JUKEBOX CODING ID 30054, GENRE FIELD//","Major healing ritual //GLOBAL JUKEBOX CODING ID 30054, DESCRIPTION FIELD//",1,,AMB,LGY
NHS2-1460,Healing,Southern Africa,Mahafaly,maha1309,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/maha1309,Tsikidola,na,The song is identified as such in its title or label,"Healing song; ceremonial song; prison song //GLOBAL JUKEBOX CODING ID 2181, GENRE FIELD//","Traditional bilo healing ceremony song; new text; The Bull Is a Grand Animal, But It Doesn't Know How to Talk; prisoners at Tulear Prison //GLOBAL JUKEBOX CODING ID 2181, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1464,Healing,Southern Africa,Namibian,mbuk1240,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/mbuk1240,Jikorwa yokumarombe tano nika moneko,NA,The song is identified as such in its title or label,"Indigenous music ; Healing song ; Claves //ILAM IDENTIFIER ATC010b-01, KEYWORDS//","Tradional Healer's song, accompanied by the Rugoma mouth bow about the Chief who is ill ; For further details refer to ILAM reel: DD112 //ILAM IDENTIFIER ATC010b-01, DESCRIPTION//",1,,AMB,CMB
NHS2-1466,Healing,Southern Africa,Khoisan,naro1249,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/naro1249,Bau and Group. Healing Dance. Darkness,NA,The song is identified as such in its title or label,"Healing dance //BRITISH LIBRARY SHELF MARK C65/37, SUBJECTS FIELD//",NA,1,,AMB,CMB
NHS2-1467,Healing,Southern Africa,Khoisan,naro1249,Yes,SON,Yes,Yes,Not problematic,Not problematic,Maybe problematic,Nata village is more on the east side of Botswana,https://glottolog.org/resource/languoid/id/naro1249,Gwae. Healing dance,NA,The song is identified as such in its title or label,"Healing dance //BRITISH LIBRARY SHELF MARK C65/13, SUBJECTS FIELD//","a) Healing Dance with singers, percussion and rattles. //BRITISH LIBRARY SHELF MARK C65/13, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1468,Healing,Southern Africa,Khoisan,naro1249,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/naro1249,"Nharo Healing dance songs: Women and man, K/aon! Wa. A different song",NA,The song is identified as such in its title or label,"Healing dance //BRITISH LIBRARY SHELF MARK C65/13, SUBJECTS FIELD//","These were recorded as examples of the kind of vocal counterpoint and melodic line found in songs of this type. //BRITISH LIBRARY SHELF MARK C65/13, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1489,Healing,Southern Africa,Sakalava,saka1291,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/saka1291,Healing Ceremony Song,NA,The song is identified as such in its title or label,"Healing song; ceremonial song //GLOBAL JUKEBOX CODING ID 25, GENRE FIELD//","Noise and bustle of a crowd mixed with the firing of gunshots used to drive away evil spirits //GLOBAL JUKEBOX CODING ID 25, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1440,Love,Southern Africa,Bemba,aush1241,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/aush1241,Marita ku Mampampa,NA,The song is identified as such in its title or label,"Love song; Guitar; Bottle //ILAM IDENTIFIER TR052-09, KEYWORDS FIELD//",NA,1,,AMB,LGY
NHS2-1449,Love,Southern Africa,Karanga,duma1252,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/duma1252,We imba ne mwana,NA,The song is identified as such in its title or label,"Indigenous music ; Vocal ; Love song //ILAM IDENTIFIER A67-01, KEYWORDS//","Unaccompanied love song //ILAM IDENTIFIER A67-01, DESCRIPTION//",1,,AMB,CMB
NHS2-1471,Love,Southern Africa,Vambo,ndon1254,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/ndon1254,Ohole nani okamana,NA,The song is identified as such in its title or label,"Love song ; Indigenous Music ; Folk //ILAM IDENTIFIER TR216-03, KEYWORDS//","Translated English Title: ""Love is a beautiful thing"". Further details refer to Sound Of Africa Series. //ILAM IDENTIFIER TR216-03, DESCRIPTION//",1,,AMB,CMB
NHS2-1476,Love,Southern Africa,Nyanja,nyan1308,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/nyan1308,Ana akuno acipangwe anagwila bele langa,NA,The song is identified as such in its title or label,"Folk song ; Indigenous music ; Bangwe wa m'kulu ; Love song //ILAM IDENTIFIER HTFT101-C118-C5J9, KEYWORDS//",NA,1,,AMB,CMB
NHS2-1519,Love,Southern Africa,Xhosa,xhos1239,Yes,SON,Yes,Yes,Not problematic,Not problematic,Maybe problematic,Language section says English,https://glottolog.org/resource/languoid/id/xhos1239,"Darling I love you, darling I need you",NA,The song is identified as such in its title or label,"Indigenous music ; Xhosa urban music ; Bass guitar ; Steel pan drum ; Love song //ILAM IDENTIFIER ATC103a-04, KEYWORDS//","Love song accompanied by bass guitar and steel pan drum ; //ILAM IDENTIFIER ATC103a-04, DESCRIPTION//",1,,AMB,CMB
NHS2-1520,Love,Southern Africa,Xhosa,xhos1239,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/xhos1239,Siyekeni sihambe,NA,The song is identified as such in its title or label,"Indigenous music ; Xhosa urban music ; Love song ; Guitar //ILAM IDENTIFIER ATC092a-02, KEYWORDS//","English translation of title: 'Leave us to go' ; Love song with guitar accompaniment ; For further details refer to Andrew Tracey cassette tape: ATC092 //ILAM IDENTIFIER ATC092a-02, DESCRIPTION//",1,,AMB,CMB
NHS2-1531,Love,Southern Africa,Yao,yaoo1241,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/yaoo1241,Iche nasalile,NA,The song is identified as such in its title or label,"Indigenous music ; Folk music ; Love song ; Bangwe ; Board Zither ; Flute //ILAM IDENTIFIER AC0518-C4G11, KEYWORDS//","A love song asking a girl to come to the singer's hut so that he can speak his love ; For further details refer to ILAM field card: C4G11 //ILAM IDENTIFIER AC0518-C4G11, DESCRIPTION//",1,,AMB,CMB
NHS2-1534,Love,Southern Africa,Zulu,zulu1248,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/zulu1248,Akasa ngi baleli,NA,The song is identified as such in its title or label,"Folk song ; Indigenous music ; Makhweyana bow ; Musical bow ; Love song //ILAM IDENTIFIER HTFT344-H10-H1E3C, KEYWORDS//",NA,1,,AMB,CMB
NHS2-1535,Love,Southern Africa,Zulu,zulu1248,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/zulu1248,Emalomeni,NA,The song is identified as such in its title or label,"Love song ; Folk ; Makhweyana musical bow //ILAM IDENTIFIER TR010-06, KEYWORDS//",NA,1,,AMB,CMB
NHS2-1536,Love,Southern Africa,Zulu,zulu1248,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/zulu1248,Ngimthanda nje muhle,"Side B, Track 1",,4,4,1,,MDS,LGY
NHS2-1454,Lullaby,Southern Africa,Karanga,kara1484,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kara1484,Kurera mwana,NA,The song is identified as such in its title or label,Indigenous music ; Folk song ; Lullaby ; Female vocals //ILAM IDENTIFIER AC0135-AH14; KEYWORDS//,Lullaby sung by a woman ; English translation of title: 'Looking after the baby' ; For further details refer to ILAM field card: AH14 //ILAM IDENTIFIER AC0135-AH14; DESCRIPTION//,1,,AMB,CMB
NHS2-1465,Lullaby,Southern Africa,Damara,nama1264,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/nama1264,Goaras gera a Labi gisa,NA,The song is identified as such in its title or label,"Lullaby ; Indigenous Music ; Folk //ILAM IDENTIFIER TR218-01, KEYWORDS//","Translated English Title: ""My child Labigisa is crying"". //ILAM IDENTIFIER TR218-01, DESCRIPTION//",1,,AMB,CMB
NHS2-1477,Lullaby,Southern Africa,Chewa,nyan1308,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/nyan1308,Alulu kalele mwana,"Side A, Track 4",,6,6,1,,SDA,LGY
NHS2-1482,Lullaby,Southern Africa,Pedi,pedi1238,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Maybe problematic,liner notes says original language is northern sotho (nort3233),https://glottolog.org/resource/languoid/id/pedi1238,Homolela ngeka and Homolela ngwanaka,NA,The song is identified as such in its title or label,"Folk music ; Indigenous music ; Lullaby //ILAM IDENTIFIER TR195-13, KEYWORDS//","Translated English title- ""Keep quiet my girl"". Further details refer to ILAM field card number: P1H - 10. //ILAM IDENTIFIER TR195-13, DESCRIPTION//",1,,AMB,CMB
NHS2-1499,Lullaby,Southern Africa,Sotho,sout2807,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/sout2807,Selallane,NA,The song is identified as such in its title or label,"Choral music ; Concert song ; Lullaby //ILAM IDENTIFIER AC0641-E1C5, KEYWORDS//","Lullaby sung for a child whose mother is away and whose elders sisters are trying to soothe it ; For further details see ILAM field card: E1C5 //ILAM IDENTIFIER AC0641-E1C5, DESCRIPTION//",1,,AMB,CMB
NHS2-1506,Lullaby,Southern Africa,Swazi,swat1243,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/swat1243,"Koboyi, koboyi yekoboyi",NA,The song is identified as such in its title or label,"Indigenous music ; Traditional music ; Siswati music ; Singing ; Unaccompanied ; Solo ; Lullaby //ILAM IDENTIFIER DDC106a-07, KEYWORDS//","Traditional Siswati lullaby, unaccompanied //ILAM IDENTIFIER DDC106a-07, DESCRIPTION//",1,,AMB,CMB
NHS2-1521,Lullaby,Southern Africa,Xhosa,xhos1239,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/xhos1239,Tula Mtwana,NA,The song is identified as such in its title or label,"Lullaby //GLOBAL JUKEBOX CODING ID 2095, GENRE FIELD//","Lullaby; Hush, Baby; group of Qwathi women; recorded at Chief Mayeze Delarile's Location //GLOBAL JUKEBOX CODING ID 2095, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1522,Lullaby,Southern Africa,Xhosa,xhos1239,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/xhos1239,Tula Mtwana,NA,The song is identified as such in its title or label,"Lullaby //GLOBAL JUKEBOX CODING ID 2095, GENRE FIELD//","Lullaby; Hush, Baby; group of Qwathi women; recorded at Chief Mayeze Delarile's Location //GLOBAL JUKEBOX CODING ID 2095, DESCRIPTION FIELD//",1,,AMB,LGY
NHS2-1523,Lullaby,Southern Africa,Xhosa,xhos1239,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/xhos1239,Ngoma yabantwana,NA,The song is identified as such in its title or label,Keywords: Indigenous Music ; Lullaby ; Clapping ; Vocal ; Unaccompanied //ILAM IDENTIFIER HTFT390-L11-L1E7; KEYWORDS//,NA,1,,AMB,CMB
NHS2-1532,Lullaby,Southern Africa,Yao,yaoo1241,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/yaoo1241,Lololo,NA,The song is identified as such in its title or label,"Folk music ; Indigenous music ; Lullaby //ILAM IDENTIFIER AC0851-C5M1, KEYWORDS//","English translation of title: 'Lullabies' ; A series of seven lullabies ; For further details refer to ILAM field card: C5M1 //ILAM IDENTIFIER AC0851-C5M1, DESCRIPTION/",1,,AMB,CMB
NHS2-1537,Lullaby,Southern Africa,Zulu,zulu1248,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/zulu1248,Uyephi na?,NA,The song is identified as such in its title or label,"Keywords: Lullaby ; Ugubu bow ; Indigenous folk music //ILAM IDENTIFIER MOA37-01 , KEYWORDS//","English translation of title: 'Where has he gone' ; Traditional Zulu lullaby by Princess Constance Magogo KaDinuzulu accompanied by Gatsha Buthelezi, with ugubu bow //ILAM IDENTIFIER MOA37-01 , DESCRIPTION//",1,,AMB,CMB
NHS2-1445,Mourning,Southern Africa,Chokwe,chok1245,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/chok1245,Shiwa yamalela,NA,The song is identified as such in its title or label,"Mourning song ; Unaccompanied //ILAM IDENTIFIER AC0501-C4B10, KEYWORDS//","Description: Unaccompanied mourning song about a woman who died, leaving behind many destitute children ; For further details refer to ILAM field card: C4B10 //ILAM IDENTIFIER AC0501-C4B10, DESCRIPTION//",1,,AMB,CMB
NHS2-1447,Mourning,Southern Africa,Chopi,chop1243,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/chop1243,Mwamwangu Wotala Achikene,NA,The song is identified as such in its title or label,"Funeral song; complaint song //GLOBAL JUKEBOX CODING ID 1690, GENRE FIELD//","Funeral song; complaint of a rejected wife //GLOBAL JUKEBOX CODING ID 1690, DESCRIPTION FIELD//",1,,AMB,LGY
NHS2-1455,Mourning,Southern Africa,Lala,lala1264,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/lala1264,Babikapo no mutembo pali bama,NA,The song is identified as such in its title or label,Indigenous music ; Folk music ; Mourning song ; Kankobele ; Mbira //ILAM IDENTIFIER TP0864-XYZT4187 KEYWORDS//,NA,1,,AMB,CMB
NHS2-1456,Mourning,Southern Africa,Swaka,lala1264,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/lala1264,Chiwaloba chiwaloba cinendondo,NA,The song is identified as such in its title or label,"Mourning song ; Unaccompanied //ILAM IDENTIFIER AC0527-C4J6 , KEYWORDS//","English translation of title: 'When a man is dead, he will never come to life again' ; A song dwelling on the immovability of death ; For further details refer to ILAM field card: C4J6 //ILAM IDENTIFIER AC0527-C4J6 , DESCRIPTION//",1,,AMB,CMB
NHS2-1458,Mourning,Southern Africa,Lozi,lozi1239,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/lozi1239,Naliba Kaboma,NA,The song is identified as such in its title or label,"Topical song; mourning song //GLOBAL JUKEBOX CODING ID 2417, GENRE FIELD//","I Cry for My Mother; topical song //GLOBAL JUKEBOX CODING ID 2417, DESCRIPTION FIELD//",1,,AMB,CMB
NHS2-1469,Mourning,Southern Africa,Ngoni,narr1281,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/narr1281,Tiyeni timulile Sayile we,NA,The song is identified as such in its title or label,"Keywords: Indigenous music ; Folk music ; Mourning song ; Clapping //ILAM IDENTIFIER AC0483-C3W7, KEYWORDS//","English translation of title: 'Let us mourn Sayili' ; Mourning song with clapping accompaniment ; For further details refer to ILAM field card: C3W7 //ILAM IDENTIFIER AC0483-C3W7, DESCRIPTION//",1,,AMB,CMB
NHS2-1474,Mourning,Southern Africa,Nsenga,nsen1242,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/nsen1242,Ni panama pamulyano pa mambo,NA,The song is identified as such in its title or label,"Traditional music ; Folk music ; Indigenous music ; Mourning song ; Kalimba //ILAM IDENTIFIER CR0079-XYZ4450, KEYWORDS//","English translation of title: 'I stood outside the door of the Chief' ; Mourning song with Kalimba notes sung at Chief Mwanjantu's village ; For further details refer to ILAM field card: C4V3 //ILAM IDENTIFIER CR0079-XYZ4450, DESCRIPTION//",1,,AMB,CMB
NHS2-1478,Mourning,Southern Africa,Nyanja,nyan1308,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Maybe problematic,sung by nsenga boys >> nsen1242?,https://glottolog.org/resource/languoid/id/nyan1308,Belisazali anaona zoopsya,NA,The song is identified as such in its title or label,"Belisazali anaona zoopsya //ILAM IDENTIFIER HTFT085-C101-C4P8, KEYWORDS//",NA,1,,AMB,CMB
NHS2-1507,Mourning,Southern Africa,Tandroy,tand1256,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/tand1256,"Hotroky for Mourning, Part 2",NA,The song is identified as such in its title or label,"Mourning song; dance song //GLOBAL JUKEBOX CODING ID 2109, GENRE FIELD//",NA,1,,AMB,CMB
NHS2-1444,Play,Southern Africa,Bemba,bemb1257,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/bemb1257,Liyense,NA,The song is identified as such in its title or label,"Unaccompanied ; Singing games ; Topical song //ILAM IDENTIFIER AC0494-C3Z12a, KEYWORDS//","For futher details refer to ILAM field card: C3Z12a //ILAM IDENTIFIER AC0494-C3Z12a, DESCRIPTION//",1,,AMB,CMB
NHS2-1461,Play,Southern Africa,Mikea,masi1268,Yes,SON,Yes,Yes,Maybe problematic,Not problematic,Not problematic,Played while doing chores like collecting firewood - more of a work song,https://glottolog.org/resource/languoid/id/masi1268,Kivaleo,NA,The song is identified as such in its title or label,Game song; work song; yodel //GLOBAL JUKEBOX CODING ID 30089 GENRE FIELD//,Yodeled chant duet; Vocal games are often played while doing chores such as collecting firewood //GLOBAL JUKEBOX CODING ID 30089 DESCRIPTION FIELD//,1,,AMB,JSL
NHS2-1479,Play,Southern Africa,Nyanja,nyan1308,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/nyan1308,Tishanke Lero,NA,The song is identified as such in its title or label,"Folk Music ; Singing games ; Clapping ; Vocal //ILAM IDENTIFIER HTFT170-D29.2-DX12a, KEYWORDS//","Description: Further details refer ILAM field card number: DX12a //ILAM IDENTIFIER HTFT170-D29.2-DX12a, DESCRIPTION//",1,,AMB,CMB
NHS2-1484,Play,Southern Africa,Betsileo,plat1254,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/plat1254,Razampaniry,NA,The song is identified as such in its title or label,Children's song; game song; morality song //GLOBAL JUKEBOX CODING ID 3666 GENRE FIELD//,Children's game song and morality tale; A Girl's Name //GLOBAL JUKEBOX CODING ID 3666 DESCRIPTION FIELD//,1,,AMB,CMB
NHS2-1485,Play,Southern Africa,Merina,plat1254,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/plat1254,Mpiragasy Song,NA,The song is identified as such in its title or label,Children's song; game song //GLOBAL JUKEBOX CODING ID 3319 GENRE FIELD//,Children's asampinga 'war game' song; schoolboys from Ambalavao at the Ambalavao Village fair //GLOBAL JUKEBOX CODING ID 3319 DESCRIPTION FIELD//,1,,AMB,CMB
NHS2-1509,Play,Southern Africa,Tswana,tswa1253,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/tswa1253,Silang moshoko,NA,The song is identified as such in its title or label,"Childrens singing game ; Indigenous Music ; Folk //ILAM IDENTIFIER TR111-09, KEYWORDS//","Translated English title - ""Grind and make porridge"". Further details refer to ILAM field card number: N1M - 4. //ILAM IDENTIFIER TR111-09, DESCRIPTION//",1,,AMB,CMB
NHS2-1510,Play,Southern Africa,Tswana,tswa1253,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/tswa1253,Monnamogolo,NA,The song is identified as such in its title or label,"Singing games ; Indigenous Music ; Folk //ILAM IDENTIFIER TR111-07, KEYWORDS//","Translated English title - ""Old man baboon"". Further details refer to ILAM field card number: N1M - 3. //ILAM IDENTIFIER TR111-07, DESCRIPTION//",1,,AMB,LGY
